Publisher,Year,Genre,Yearly_Profits
"Virgin Interactive",2008,Role-Playing,5.51
"Warner Bros. Interactive Entertainment",2001,Platform,5.50
Touchstone,2001,Racing,5.49
"Ubisoft Annecy",2001,Platform,5.47
"Majesco Entertainment",2008,Shooter,5.45
Spike,2001,Platform,5.43
"SNK Playmore",2014,Misc,5.42
"Universal Interactive",2009,Role-Playing,5.42
"Scholastic Inc.",1989,Puzzle,5.36
Russel,1999,Misc,5.34
"Mud Duck Productions",2012,Action,5.31
Taito,2000,Role-Playing,5.30
Screenlife,2003,Role-Playing,5.30
Agetec,1999,Platform,5.29
"Jack of All Games",2009,Action,5.27
"Jester Interactive",2007,Puzzle,5.27
GSP,1997,Action,5.26
"989 Sports",2004,Role-Playing,5.24
Interplay,2012,Role-Playing,5.23
"Nippon Ichi Software",2003,Platform,5.21
"Pioneer LDC",2012,Platform,5.20
"LEGO Media",1994,Platform,5.20
Mystique,2012,Action,5.19
Codemasters,2007,Action,5.19
Microprose,1995,Platform,5.18
"Red Orb",2013,Simulation,5.17
"Eidos Interactive",2008,Sports,5.15
"Takara Tomy",2003,Shooter,5.15
ChunSoft,1992,Platform,5.14
"Level 5",2010,Role-Playing,5.13
"Arena Entertainment",2014,Shooter,5.13
Quest,1996,Simulation,5.13
"Hamster Corporation",2006,Misc,5.13
"Media Rings",2009,Action,5.12
"Midway Games",2014,Action,5.12
"Illusion Softworks",2006,Action,5.11
Tigervision,2010,Sports,5.08
"From Software",1999,Platform,5.08
"Funbox Media",1996,Action,5.08
"Rocket Company",1999,Sports,5.07
JVC,2014,Fighting,5.05
"Deep Silver",2007,Misc,5.00
"Metro 3D",2008,Role-Playing,5.00
"Mattel Interactive",1997,Racing,4.94
"989 Studios",1990,Puzzle,4.90
"IE Institute",2010,Action,4.88
NCSoft,2010,Strategy,4.87
Rondomedia,2007,Adventure,4.85
"Sony Computer Entertainment America",2014,Sports,4.84
"Universal Gamex",1999,Racing,4.83
"UEP Systems",2016,Sports,4.83
"Parker Bros.",2011,Action,4.82
Ghostlight,2000,Action,4.79
Maxis,2003,Racing,4.77
"Wizard Video Games",2000,Sports,4.76
Imagic,2008,Simulation,4.73
"Tecmo Koei",2011,Racing,4.68
"Valve Software",1991,Action,4.64
"ASCII Entertainment",2009,Sports,4.62
Mindscape,2015,Shooter,4.60
Infogrames,2007,Misc,4.58
Square,2002,Action,4.53
"BMG Interactive Entertainment",2000,Role-Playing,4.50
"Activision Value",2015,Action,4.49
PQube,2014,Shooter,4.48
Banpresto,2005,Action,4.47
Laguna,2012,Misc,4.47
D3Publisher,2010,Misc,4.45
"Oxygen Interactive",2001,Sports,4.45
"Red Storm Entertainment",2006,Sports,4.44
"Ignition Entertainment",2006,Role-Playing,4.42
"Video System",1987,Adventure,4.41
Takara,2005,Racing,4.39
"Hello Games",2006,Shooter,4.39
"Kadokawa Shoten",1991,Platform,4.38
Destineer,2005,Role-Playing,4.37
Enterbrain,2013,Sports,4.35
"Xseed Games",2014,Shooter,4.34
Imagineer,1980,Shooter,4.33
"Global Star",2008,Role-Playing,4.31
"Gotham Games",2015,Shooter,4.31
"Westwood Studios",2013,Platform,4.31
GungHo,2011,Action,4.26
"Crave Entertainment",2005,Sports,4.22
"Trion Worlds",2003,Misc,4.21
"Hudson Soft",2002,Sports,4.17
